,Training datasets,
Protein_ID,Cysteine_ positions,Pos & Neg samples
sp|O95140|MFN2_HUMAN,684,Non-SNO
sp|O95140|MFN2_HUMAN,700,Non-SNO
sp|P53996|CNBP_MOUSE,6,Non-SNO
sp|P53996|CNBP_MOUSE,9,Non-SNO
sp|P53996|CNBP_MOUSE,19,Non-SNO
sp|P53996|CNBP_MOUSE,54,Non-SNO
sp|P53996|CNBP_MOUSE,57,Non-SNO
sp|P53996|CNBP_MOUSE,67,Non-SNO
sp|P53996|CNBP_MOUSE,75,Non-SNO
sp|P53996|CNBP_MOUSE,78,Non-SNO
sp|P53996|CNBP_MOUSE,98,Non-SNO
sp|P53996|CNBP_MOUSE,99,Non-SNO
sp|P53996|CNBP_MOUSE,102,Non-SNO
sp|P53996|CNBP_MOUSE,112,Non-SNO
sp|P53996|CNBP_MOUSE,120,Non-SNO
sp|P53996|CNBP_MOUSE,123,Non-SNO
sp|P53996|CNBP_MOUSE,133,Non-SNO
sp|P53996|CNBP_MOUSE,138,Non-SNO
sp|P53996|CNBP_MOUSE,151,Non-SNO
sp|P53996|CNBP_MOUSE,162,Non-SNO
sp|P53996|CNBP_MOUSE,172,Non-SNO
sp|Q9D0R2|SYTC_MOUSE,106,Non-SNO
sp|Q9D0R2|SYTC_MOUSE,136,Non-SNO
sp|Q9D0R2|SYTC_MOUSE,171,Non-SNO
sp|Q9D0R2|SYTC_MOUSE,173,Non-SNO
sp|Q9D0R2|SYTC_MOUSE,205,Non-SNO
sp|Q9D0R2|SYTC_MOUSE,236,Non-SNO
sp|Q9D0R2|SYTC_MOUSE,253,Non-SNO
sp|Q9D0R2|SYTC_MOUSE,260,Non-SNO
sp|Q9D0R2|SYTC_MOUSE,342,Non-SNO
sp|Q9D0R2|SYTC_MOUSE,412,Non-SNO
sp|Q9D0R2|SYTC_MOUSE,416,Non-SNO
sp|Q9D0R2|SYTC_MOUSE,466,Non-SNO
sp|Q9D0R2|SYTC_MOUSE,478,Non-SNO
sp|Q9D0R2|SYTC_MOUSE,557,Non-SNO
sp|Q9D0R2|SYTC_MOUSE,629,Non-SNO
sp|Q8JZN7|MIRO2_MOUSE,79,Non-SNO
sp|Q8JZN7|MIRO2_MOUSE,144,Non-SNO
sp|Q8JZN7|MIRO2_MOUSE,147,Non-SNO
sp|Q8JZN7|MIRO2_MOUSE,185,Non-SNO
sp|Q8JZN7|MIRO2_MOUSE,216,Non-SNO
sp|Q8JZN7|MIRO2_MOUSE,234,Non-SNO
sp|Q8JZN7|MIRO2_MOUSE,297,Non-SNO
sp|Q8JZN7|MIRO2_MOUSE,355,Non-SNO
sp|Q8JZN7|MIRO2_MOUSE,363,Non-SNO
sp|Q8JZN7|MIRO2_MOUSE,376,Non-SNO
sp|Q8JZN7|MIRO2_MOUSE,389,Non-SNO
sp|Q8JZN7|MIRO2_MOUSE,420,Non-SNO
sp|Q8JZN7|MIRO2_MOUSE,472,Non-SNO
sp|Q8JZN7|MIRO2_MOUSE,488,Non-SNO
sp|Q8JZN7|MIRO2_MOUSE,492,Non-SNO
sp|Q8JZN7|MIRO2_MOUSE,506,Non-SNO
sp|Q8JZN7|MIRO2_MOUSE,521,Non-SNO
sp|Q8JZN7|MIRO2_MOUSE,558,Non-SNO
sp|O35459|ECH1_MOUSE,158,Non-SNO
sp|O35459|ECH1_MOUSE,170,Non-SNO
sp|O35459|ECH1_MOUSE,181,Non-SNO
sp|O35459|ECH1_MOUSE,186,Non-SNO
sp|Q60936|COQ8A_MOUSE,435,Non-SNO
sp|Q60936|COQ8A_MOUSE,465,Non-SNO
sp|Q60936|COQ8A_MOUSE,472,Non-SNO
sp|Q60936|COQ8A_MOUSE,626,Non-SNO
sp|P63318|KPCG_MOUSE,20,Non-SNO
sp|P63318|KPCG_MOUSE,49,Non-SNO
sp|P63318|KPCG_MOUSE,52,Non-SNO
sp|P63318|KPCG_MOUSE,66,Non-SNO
sp|P63318|KPCG_MOUSE,69,Non-SNO
sp|P63318|KPCG_MOUSE,77,Non-SNO
sp|P63318|KPCG_MOUSE,85,Non-SNO
sp|P63318|KPCG_MOUSE,114,Non-SNO
sp|P63318|KPCG_MOUSE,117,Non-SNO
sp|P63318|KPCG_MOUSE,131,Non-SNO
sp|P63318|KPCG_MOUSE,133,Non-SNO
sp|P63318|KPCG_MOUSE,134,Non-SNO
sp|P63318|KPCG_MOUSE,142,Non-SNO
sp|P63318|KPCG_MOUSE,150,Non-SNO
sp|P63318|KPCG_MOUSE,337,Non-SNO
sp|P63318|KPCG_MOUSE,395,Non-SNO
sp|P63318|KPCG_MOUSE,502,Non-SNO
sp|P63318|KPCG_MOUSE,516,Non-SNO
sp|P63318|KPCG_MOUSE,586,Non-SNO
sp|P63318|KPCG_MOUSE,636,Non-SNO
sp|Q9Z110|P5CS_MOUSE,88,Non-SNO
sp|Q9Z110|P5CS_MOUSE,161,Non-SNO
sp|Q9Z110|P5CS_MOUSE,183,Non-SNO
sp|Q9Z110|P5CS_MOUSE,486,Non-SNO
sp|Q9Z110|P5CS_MOUSE,546,Non-SNO
sp|Q9Z110|P5CS_MOUSE,584,Non-SNO
sp|Q9Z110|P5CS_MOUSE,718,Non-SNO
tr|Q53HE2|Q53HE2_HUMAN,42,Non-SNO
tr|Q53HE2|Q53HE2_HUMAN,67,Non-SNO
tr|Q53HE2|Q53HE2_HUMAN,87,Non-SNO
tr|Q53HE2|Q53HE2_HUMAN,127,Non-SNO
sp|Q8QZZ7|TPRKB_MOUSE,13,Non-SNO
sp|Q9DB43|ZFPL1_MOUSE,4,Non-SNO
sp|Q9DB43|ZFPL1_MOUSE,6,Non-SNO
sp|Q9DB43|ZFPL1_MOUSE,16,Non-SNO
sp|Q9DB43|ZFPL1_MOUSE,24,Non-SNO
sp|Q9DB43|ZFPL1_MOUSE,27,Non-SNO
sp|Q9DB43|ZFPL1_MOUSE,35,Non-SNO
sp|Q9DB43|ZFPL1_MOUSE,53,Non-SNO
sp|Q9DB43|ZFPL1_MOUSE,56,Non-SNO
sp|Q9DB43|ZFPL1_MOUSE,70,Non-SNO
sp|Q9DB43|ZFPL1_MOUSE,78,Non-SNO
sp|Q9DB43|ZFPL1_MOUSE,97,Non-SNO
sp|Q9DB43|ZFPL1_MOUSE,100,Non-SNO
sp|Q15019|SEPT2_HUMAN,114,Non-SNO
sp|Q15019|SEPT2_HUMAN,148,Non-SNO
sp|Q15019|SEPT2_HUMAN,149,Non-SNO
sp|Q07076|ANXA7_MOUSE,260,Non-SNO
sp|Q07076|ANXA7_MOUSE,273,Non-SNO
sp|Q07076|ANXA7_MOUSE,302,Non-SNO
sp|Q07076|ANXA7_MOUSE,388,Non-SNO
sp|O00308|WWP2_HUMAN,88,Non-SNO
sp|O00308|WWP2_HUMAN,506,Non-SNO
sp|O00308|WWP2_HUMAN,577,Non-SNO
sp|O00308|WWP2_HUMAN,588,Non-SNO
sp|O00308|WWP2_HUMAN,666,Non-SNO
sp|O00308|WWP2_HUMAN,750,Non-SNO
sp|O00308|WWP2_HUMAN,802,Non-SNO
sp|O00308|WWP2_HUMAN,822,Non-SNO
sp|O00308|WWP2_HUMAN,838,Non-SNO
sp|Q91WN4|KMO_MOUSE,25,Non-SNO
sp|Q91WN4|KMO_MOUSE,160,Non-SNO
sp|Q91WN4|KMO_MOUSE,166,Non-SNO
sp|Q91WN4|KMO_MOUSE,212,Non-SNO
sp|Q91WN4|KMO_MOUSE,235,Non-SNO
sp|Q91WN4|KMO_MOUSE,290,Non-SNO
sp|Q91WN4|KMO_MOUSE,324,Non-SNO
sp|Q91WN4|KMO_MOUSE,341,Non-SNO
sp|P97501|FMO3_MOUSE,21,Non-SNO
sp|P97501|FMO3_MOUSE,30,Non-SNO
sp|P97501|FMO3_MOUSE,68,Non-SNO
sp|P97501|FMO3_MOUSE,116,Non-SNO
sp|P97501|FMO3_MOUSE,146,Non-SNO
sp|P97501|FMO3_MOUSE,170,Non-SNO
sp|P97501|FMO3_MOUSE,294,Non-SNO
sp|P97501|FMO3_MOUSE,324,Non-SNO
sp|P97501|FMO3_MOUSE,466,Non-SNO
sp|P97501|FMO3_MOUSE,509,Non-SNO
sp|P50416|CPT1A_HUMAN,304,Non-SNO
sp|P50416|CPT1A_HUMAN,394,Non-SNO
sp|P50416|CPT1A_HUMAN,448,Non-SNO
sp|P50416|CPT1A_HUMAN,504,Non-SNO
sp|P50416|CPT1A_HUMAN,526,Non-SNO
sp|P50416|CPT1A_HUMAN,562,Non-SNO
sp|P50416|CPT1A_HUMAN,586,Non-SNO
sp|P50416|CPT1A_HUMAN,608,Non-SNO
sp|P50416|CPT1A_HUMAN,659,Non-SNO
sp|P50416|CPT1A_HUMAN,742,Non-SNO
sp|Q9M339|RS32_ARATH,97,Non-SNO
sp|Q9M339|RS32_ARATH,119,Non-SNO
sp|Q8NHW5|RLA0L_HUMAN,226,Non-SNO
sp|O60841|IF2P_HUMAN,470,Non-SNO
sp|O60841|IF2P_HUMAN,635,Non-SNO
sp|O60841|IF2P_HUMAN,720,Non-SNO
sp|O60841|IF2P_HUMAN,749,Non-SNO
sp|O60841|IF2P_HUMAN,853,Non-SNO
sp|O60841|IF2P_HUMAN,1126,Non-SNO
sp|O60841|IF2P_HUMAN,1158,Non-SNO
sp|Q01768|NDKB_MOUSE,145,Non-SNO
sp|Q9LR30|GGT1_ARATH,18,Non-SNO
sp|Q9LR30|GGT1_ARATH,66,Non-SNO
sp|Q9LR30|GGT1_ARATH,149,Non-SNO
sp|Q9LR30|GGT1_ARATH,226,Non-SNO
sp|Q9LR30|GGT1_ARATH,239,Non-SNO
sp|Q9LR30|GGT1_ARATH,297,Non-SNO
sp|Q9LR30|GGT1_ARATH,377,Non-SNO
sp|Q8BW75|AOFB_MOUSE,156,Non-SNO
sp|Q8BW75|AOFB_MOUSE,172,Non-SNO
sp|Q8BW75|AOFB_MOUSE,192,Non-SNO
sp|Q8BW75|AOFB_MOUSE,297,Non-SNO
sp|Q8BW75|AOFB_MOUSE,312,Non-SNO
sp|Q8BW75|AOFB_MOUSE,389,Non-SNO
sp|Q8BW75|AOFB_MOUSE,397,Non-SNO
sp|Q15021|CND1_HUMAN,121,Non-SNO
sp|Q15021|CND1_HUMAN,201,Non-SNO
sp|Q15021|CND1_HUMAN,202,Non-SNO
sp|Q15021|CND1_HUMAN,320,Non-SNO
sp|Q15021|CND1_HUMAN,421,Non-SNO
sp|Q15021|CND1_HUMAN,439,Non-SNO
sp|Q15021|CND1_HUMAN,596,Non-SNO
sp|Q15021|CND1_HUMAN,734,Non-SNO
sp|Q15021|CND1_HUMAN,740,Non-SNO
sp|Q15021|CND1_HUMAN,766,Non-SNO
sp|Q15021|CND1_HUMAN,767,Non-SNO
sp|Q15021|CND1_HUMAN,772,Non-SNO
sp|Q15021|CND1_HUMAN,816,Non-SNO
sp|Q15021|CND1_HUMAN,886,Non-SNO
sp|Q15021|CND1_HUMAN,893,Non-SNO
sp|Q15021|CND1_HUMAN,950,Non-SNO
sp|Q15021|CND1_HUMAN,1000,Non-SNO
sp|Q15021|CND1_HUMAN,1022,Non-SNO
sp|Q15021|CND1_HUMAN,1045,Non-SNO
sp|Q15021|CND1_HUMAN,1052,Non-SNO
sp|Q15021|CND1_HUMAN,1211,Non-SNO
sp|Q15021|CND1_HUMAN,1229,Non-SNO
sp|Q15021|CND1_HUMAN,1249,Non-SNO
sp|Q15021|CND1_HUMAN,1292,Non-SNO
sp|P62878|RBX1_MOUSE,42,Non-SNO
sp|P62878|RBX1_MOUSE,45,Non-SNO
sp|P62878|RBX1_MOUSE,53,Non-SNO
sp|P62878|RBX1_MOUSE,56,Non-SNO
sp|P62878|RBX1_MOUSE,68,Non-SNO
sp|P62878|RBX1_MOUSE,75,Non-SNO
sp|P62878|RBX1_MOUSE,83,Non-SNO
sp|P62879|GBB2_HUMAN,103,Non-SNO
sp|P62879|GBB2_HUMAN,114,Non-SNO
sp|P62879|GBB2_HUMAN,166,Non-SNO
sp|P62879|GBB2_HUMAN,218,Non-SNO
sp|P62879|GBB2_HUMAN,271,Non-SNO
sp|P62879|GBB2_HUMAN,294,Non-SNO
sp|P25444|RS2_MOUSE,143,Non-SNO
sp|P25444|RS2_MOUSE,222,Non-SNO
sp|P62874|GBB1_MOUSE,25,Non-SNO
sp|P62874|GBB1_MOUSE,103,Non-SNO
sp|P62874|GBB1_MOUSE,114,Non-SNO
sp|P62874|GBB1_MOUSE,121,Non-SNO
sp|P62874|GBB1_MOUSE,148,Non-SNO
sp|P62874|GBB1_MOUSE,149,Non-SNO
sp|P62874|GBB1_MOUSE,166,Non-SNO
sp|P62874|GBB1_MOUSE,204,Non-SNO
sp|P62874|GBB1_MOUSE,218,Non-SNO
sp|P62874|GBB1_MOUSE,233,Non-SNO
sp|P62874|GBB1_MOUSE,250,Non-SNO
sp|P62874|GBB1_MOUSE,271,Non-SNO
sp|P62874|GBB1_MOUSE,317,Non-SNO
sp|Q9EQF5|DPYS_MOUSE,126,Non-SNO
sp|Q9EQF5|DPYS_MOUSE,127,Non-SNO
sp|Q9EQF5|DPYS_MOUSE,182,Non-SNO
sp|Q9EQF5|DPYS_MOUSE,328,Non-SNO
sp|Q9EQF5|DPYS_MOUSE,333,Non-SNO
sp|Q9EQF5|DPYS_MOUSE,433,Non-SNO
sp|Q07065|CKAP4_HUMAN,126,Non-SNO
sp|Q9D517|PLCC_MOUSE,34,Non-SNO
sp|Q9D517|PLCC_MOUSE,51,Non-SNO
sp|Q9D517|PLCC_MOUSE,70,Non-SNO
sp|Q9D517|PLCC_MOUSE,73,Non-SNO
sp|Q9D517|PLCC_MOUSE,104,Non-SNO
sp|Q9D517|PLCC_MOUSE,109,Non-SNO
sp|Q9D517|PLCC_MOUSE,128,Non-SNO
sp|Q9D517|PLCC_MOUSE,144,Non-SNO
sp|Q9D517|PLCC_MOUSE,175,Non-SNO
sp|Q9D517|PLCC_MOUSE,313,Non-SNO
sp|Q8VCT3|AMPB_MOUSE,69,Non-SNO
sp|Q8VCT3|AMPB_MOUSE,85,Non-SNO
sp|Q8VCT3|AMPB_MOUSE,123,Non-SNO
sp|Q8VCT3|AMPB_MOUSE,130,Non-SNO
sp|Q8VCT3|AMPB_MOUSE,189,Non-SNO
sp|Q8VCT3|AMPB_MOUSE,254,Non-SNO
sp|Q8VCT3|AMPB_MOUSE,304,Non-SNO
sp|Q8VCT3|AMPB_MOUSE,311,Non-SNO
sp|Q8VCT3|AMPB_MOUSE,369,Non-SNO
sp|Q8VCT3|AMPB_MOUSE,419,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,30,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,81,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,104,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,130,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,245,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,257,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,299,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,309,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,352,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,402,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,472,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,480,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,495,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,502,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,561,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,659,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,776,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,809,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,811,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,824,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,853,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,885,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,916,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,935,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,977,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,1008,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,1027,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,1069,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,1100,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,1119,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,1161,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,1192,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,1211,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,1253,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,1284,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,1303,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,1345,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,1376,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,1395,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,1437,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,1468,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,1487,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,1529,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,1560,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,1579,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,1621,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,1652,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,1671,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,1713,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,1744,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,1763,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,1805,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,1836,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,1855,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,1897,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,1928,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,1947,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,1989,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,2020,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,2039,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,2081,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,2112,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,2131,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,2224,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,2263,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,2276,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,2313,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,2353,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,2476,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,2492,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,2555,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,2620,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,2651,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,2659,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,2669,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,2743,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,2793,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,2832,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,2874,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,2922,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,2972,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,3008,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,3011,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,3042,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,3100,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,3150,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,3185,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,3189,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,3280,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,3330,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,3342,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,3369,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,3419,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,3457,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,3458,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,3549,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,3573,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,3580,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,3991,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,4023,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,4063,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,4095,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,4112,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,4114,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,4151,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,4183,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,4188,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,4200,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,4202,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,4239,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,4271,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,4288,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,4290,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,4327,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,4359,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,4376,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,4378,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,4415,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,4447,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,4452,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,4464,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,4466,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,4503,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,4535,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,4552,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,4554,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,4591,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,4623,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,4628,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,4640,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,4642,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,4679,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,4711,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,4728,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,4730,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,4767,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,4799,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,4816,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,4818,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,4855,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,4886,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,4905,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,4907,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,4944,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,4965,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,4994,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,5032,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,5033,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,5068,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,5085,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,5124,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,5158,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,5201,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,5209,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,5242,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,5260,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,5303,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,5352,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,5395,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,5497,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,5514,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,5523,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,5581,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,5634,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,5796,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,5859,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,5870,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,5894,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,5911,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,5925,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,5999,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,6014,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,6089,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,6141,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,6389,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,6400,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,6701,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,6710,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,6797,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,6872,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,6940,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,6963,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,6975,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,7010,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,7027,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,7069,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,7122,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,7162,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,7294,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,7377,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,7388,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,7441,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,7491,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,7553,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,7606,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,7662,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,7809,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,7924,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,7978,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,7986,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,7998,Non-SNO
sp|A2AAJ9|OBSCN_MOUSE,8022,Non-SNO
